NAME                                        VERSION                               TYPE                       
@alloc/quick-lru                            5.2.0                                 npm                         
@babel/code-frame                           7.29.0                                npm                         
@babel/generator                            7.28.5                                npm                         
@babel/helper-globals                       7.28.0                                npm                         
@babel/helper-string-parser                 7.27.1                                npm                         
@babel/helper-validator-identifier          7.28.5                                npm                         
@babel/parser                               7.29.2                                npm                         
@babel/template                             7.27.2                                npm                         
@babel/traverse                             7.28.5                                npm                         
@babel/types                                7.29.0                                npm                         
@borewit/text-codec                         0.2.2                                 npm                         
@esbuild/linux-x64                          0.27.4                                npm                         
@extism/extism                              2.0.0-rc13                            npm                         
@extism/js-pdk                              1.1.1                                 npm                         
@fig/complete-commander                     3.2.0                                 npm                         
@gar/promise-retry                          1.0.2                                 npm                         
@golevelup/nestjs-discovery                 5.0.0                                 npm                         
@grpc/grpc-js                               1.14.3                                npm                         
@grpc/proto-loader                          0.8.0                                 npm                         
@img/colour                                 1.0.0                                 npm                         
@immich/cli                                 2.7.5                                 npm                         
@immich/sql-tools                           0.3.2                                 npm                         
@inquirer/external-editor                   1.0.3                                 npm                         
@ioredis/commands                           1.5.0                                 npm                         
@ioredis/commands                           1.5.1                                 npm                         
@isaacs/cliui                               8.0.2                                 npm                         
@isaacs/fs-minipass                         4.0.1                                 npm        (+1 duplicate)   
@isaacs/string-locale-compare               1.1.0                                 npm                         
@jridgewell/gen-mapping                     0.3.13                                npm                         
@jridgewell/resolve-uri                     3.1.2                                 npm                         
@jridgewell/sourcemap-codec                 1.5.5                                 npm                         
@jridgewell/trace-mapping                   0.3.31                                npm                         
@js-sdsl/ordered-map                        4.4.2                                 npm                         
@lukeed/csprng                              1.1.0                                 npm                         
@microsoft/tsdoc                            0.16.0                                npm                         
@my-scope/package-a                         0.0.0                                 npm                         
@my-scope/package-b                         0.0.0                                 npm                         
@nestjs/bull-shared                         11.0.4                                npm                         
@nestjs/bullmq                              11.0.4                                npm                         
@nestjs/common                              11.1.17                               npm                         
@nestjs/core                                11.1.17                               npm                         
@nestjs/mapped-types                        2.1.0                                 npm                         
@nestjs/platform-express                    11.1.17                               npm                         
@nestjs/platform-socket.io                  11.1.17                               npm                         
@nestjs/schedule                            6.1.1                                 npm                         
@nestjs/swagger                             11.2.6                                npm                         
@nestjs/websockets                          11.1.17                               npm                         
@nodelib/fs.scandir                         2.1.5                                 npm                         
@nodelib/fs.stat                            2.0.5                                 npm                         
@nodelib/fs.walk                            1.2.8                                 npm                         
@npmcli/agent                               4.0.0                                 npm        (+1 duplicate)   
@npmcli/arborist                            9.4.0                                 npm                         
@npmcli/config                              10.7.1                                npm                         
@npmcli/fs                                  5.0.0                                 npm        (+1 duplicate)   
@npmcli/git                                 7.0.2                                 npm                         
@npmcli/installed-package-contents          4.0.0                                 npm                         
@npmcli/map-workspaces                      5.0.3                                 npm                         
@npmcli/metavuln-calculator                 9.0.3                                 npm                         
@npmcli/name-from-folder                    4.0.0                                 npm                         
@npmcli/node-gyp                            5.0.0                                 npm                         
@npmcli/package-json                        7.0.5                                 npm                         
@npmcli/promise-spawn                       9.0.1                                 npm                         
@npmcli/query                               5.0.0                                 npm                         
@npmcli/redact                              4.0.0                                 npm                         
@npmcli/run-script                          10.0.3                                npm                         
@nuxt/opencollective                        0.4.1                                 npm                         
@opentelemetry/api                          1.9.0                                 npm                         
@opentelemetry/api-logs                     0.213.0                               npm                         
@opentelemetry/configuration                0.213.0                               npm                         
@opentelemetry/context-async-hooks          2.6.0                                 npm                         
@opentelemetry/core                         2.6.0                                 npm                         
@opentelemetry/exporter-logs-otlp-grpc      0.213.0                               npm                         
@opentelemetry/exporter-logs-otlp-http      0.213.0                               npm                         
@opentelemetry/exporter-logs-otlp-proto     0.213.0                               npm                         
@opentelemetry/exporter-metrics-otlp-grpc   0.213.0                               npm                         
@opentelemetry/exporter-metrics-otlp-http   0.213.0                               npm                         
@opentelemetry/exporter-metrics-otlp-proto  0.213.0                               npm                         
@opentelemetry/exporter-prometheus          0.213.0                               npm                         
@opentelemetry/exporter-trace-otlp-grpc     0.213.0                               npm                         
@opentelemetry/exporter-trace-otlp-http     0.213.0                               npm                         
@opentelemetry/exporter-trace-otlp-proto    0.213.0                               npm                         
@opentelemetry/exporter-zipkin              2.6.0                                 npm                         
@opentelemetry/host-metrics                 0.36.2                                npm                         
@opentelemetry/instrumentation              0.213.0                               npm                         
@opentelemetry/instrumentation-http         0.213.0                               npm                         
@opentelemetry/instrumentation-ioredis      0.61.0                                npm                         
@opentelemetry/instrumentation-nestjs-core  0.59.0                                npm                         
@opentelemetry/instrumentation-pg           0.65.0                                npm                         
@opentelemetry/otlp-exporter-base           0.213.0                               npm                         
@opentelemetry/otlp-grpc-exporter-base      0.213.0                               npm                         
@opentelemetry/otlp-transformer             0.213.0                               npm                         
@opentelemetry/propagator-b3                2.6.0                                 npm                         
@opentelemetry/propagator-jaeger            2.6.0                                 npm                         
@opentelemetry/redis-common                 0.38.2                                npm                         
@opentelemetry/resources                    2.6.0                                 npm                         
@opentelemetry/sdk-logs                     0.213.0                               npm                         
@opentelemetry/sdk-metrics                  2.6.0                                 npm                         
@opentelemetry/sdk-node                     0.213.0                               npm                         
@opentelemetry/sdk-trace-base               2.6.0                                 npm                         
@opentelemetry/sdk-trace-node               2.6.0                                 npm                         
@opentelemetry/semantic-conventions         1.40.0                                npm                         
@opentelemetry/sql-common                   0.41.2                                npm                         
@photostructure/tz-lookup                   11.5.0                                npm                         
@polka/url                                  1.0.0-next.29                         npm                         
@protobufjs/aspromise                       1.1.2                                 npm                         
@protobufjs/base64                          1.1.2                                 npm                         
@protobufjs/codegen                         2.0.4                                 npm                         
@protobufjs/eventemitter                    1.1.0                                 npm                         
@protobufjs/fetch                           1.1.0                                 npm                         
@protobufjs/float                           1.0.2                                 npm                         
@protobufjs/inquire                         1.1.0                                 npm                         
@protobufjs/path                            1.1.2                                 npm                         
@protobufjs/pool                            1.1.0                                 npm                         
@protobufjs/utf8                            1.1.0                                 npm                         
@react-email/body                           0.1.0                                 npm                         
@react-email/button                         0.2.0                                 npm                         
@react-email/code-block                     0.1.0                                 npm                         
@react-email/code-inline                    0.0.5                                 npm                         
@react-email/column                         0.0.13                                npm                         
@react-email/components                     0.5.7                                 npm                         
@react-email/container                      0.0.15                                npm                         
@react-email/font                           0.0.9                                 npm                         
@react-email/head                           0.0.12                                npm                         
@react-email/heading                        0.0.15                                npm                         
@react-email/hr                             0.0.11                                npm                         
@react-email/html                           0.0.11                                npm                         
@react-email/img                            0.0.11                                npm                         
@react-email/link                           0.0.12                                npm                         
@react-email/markdown                       0.0.16                                npm                         
@react-email/preview                        0.0.13                                npm                         
@react-email/render                         1.4.0                                 npm                         
@react-email/row                            0.0.12                                npm                         
@react-email/section                        0.0.16                                npm                         
@react-email/tailwind                       1.2.2                                 npm                         
